,precision,recall,f1-score,support
Bacterial Leaf Blight,0.7608695652173914,0.8076923076923077,0.7835820895522388,130.0
Brown Spot,0.7333333333333333,0.7272727272727273,0.7302904564315352,121.0
Healthy Rice Leaf,0.803921568627451,0.9761904761904762,0.8817204301075269,126.0
Leaf Blast,0.822429906542056,0.6821705426356589,0.7457627118644068,129.0
Leaf scald,0.84375,0.6136363636363636,0.7105263157894737,132.0
Sheath Blight,0.7748344370860927,0.9212598425196851,0.841726618705036,127.0
accuracy,0.7869281045751634,0.7869281045751634,0.7869281045751634,0.7869281045751634
macro avg,0.7898564684677208,0.7880370433245365,0.7822681037417029,765.0
weighted avg,0.7906051319117804,0.7869281045751634,0.7819865819004101,765.0
