accuracy,loss,val_accuracy,val_loss,learning_rate
0.47780677676200867,1.3815524578094482,0.1581699401140213,1.8030201196670532,9.999999747378752e-05
0.6099869608879089,1.078667163848877,0.17124183475971222,1.9453002214431763,9.999999747378752e-05
0.6556788682937622,0.966071605682373,0.1738562136888504,2.588554859161377,9.999999747378752e-05
0.6863576769828796,0.8986648917198181,0.2535947859287262,2.4318506717681885,4.999999873689376e-05
0.7039816975593567,0.8575806617736816,0.32679739594459534,1.797473669052124,4.999999873689376e-05
0.7183420658111572,0.8169607520103455,0.529411792755127,1.190449595451355,4.999999873689376e-05
0.7235639691352844,0.7969592809677124,0.6915032863616943,0.8737061619758606,4.999999873689376e-05
0.7389034032821655,0.7704311013221741,0.6993464231491089,0.8269500136375427,4.999999873689376e-05
0.75,0.7346356511116028,0.6967320442199707,0.8187053799629211,4.999999873689376e-05
0.7460835576057434,0.7397485375404358,0.7202614545822144,0.7681142091751099,4.999999873689376e-05
0.7532637119293213,0.7112459540367126,0.7516340017318726,0.7045338153839111,4.999999873689376e-05
0.7669712901115417,0.6935328245162964,0.7346405386924744,0.7223083972930908,4.999999873689376e-05
0.7774151563644409,0.6686843037605286,0.7751634120941162,0.6812058091163635,4.999999873689376e-05
0.772519588470459,0.6602824330329895,0.7490196228027344,0.6699391603469849,4.999999873689376e-05
0.7832897901535034,0.6505578756332397,0.7568627595901489,0.693933367729187,4.999999873689376e-05
0.792754590511322,0.6117674708366394,0.7594771385192871,0.635887861251831,4.999999873689376e-05
0.7862271666526794,0.6205407977104187,0.7620915174484253,0.6585939526557922,4.999999873689376e-05
0.8005874752998352,0.5983547568321228,0.7607843279838562,0.6443846225738525,4.999999873689376e-05
0.8061357736587524,0.5813152194023132,0.7555555701255798,0.6683528423309326,2.499999936844688e-05
0.807441234588623,0.5665289759635925,0.7673202753067017,0.6344448924064636,2.499999936844688e-05
0.807441234588623,0.5624635815620422,0.7751634120941162,0.6005497574806213,2.499999936844688e-05
0.8195169568061829,0.5499449968338013,0.7712418437004089,0.6167852282524109,2.499999936844688e-05
0.8198433518409729,0.5372954607009888,0.7895424962043762,0.5804501175880432,2.499999936844688e-05
0.8276762366294861,0.525126039981842,0.7751634120941162,0.599833607673645,2.499999936844688e-05
0.8214752078056335,0.5332313179969788,0.7947712540626526,0.570386528968811,2.499999936844688e-05
0.8312663435935974,0.5260496735572815,0.7803921699523926,0.5786382555961609,2.499999936844688e-05
0.8315926790237427,0.5133887529373169,0.7660130858421326,0.6329383254051208,2.499999936844688e-05
0.8384464979171753,0.4992392063140869,0.7843137383460999,0.5741826295852661,1.249999968422344e-05
0.834856390953064,0.4955146610736847,0.786928117275238,0.5685640573501587,1.249999968422344e-05
0.832245409488678,0.4961623251438141,0.7882353067398071,0.5688852667808533,1.249999968422344e-05
